==========================================
🔥 BLAZING FAST TRAINING MODE 🔥
SLURM Job ID: 519243
Node: gpu39
Start time: Sun Nov 23 10:20:46 PM HKT 2025
==========================================

Configuration:
  Config: config_1.5b_blazing_fast.json
  Expected time: 30-45 minutes

Python: Python 3.12.12
GPUs detected:
0, NVIDIA GeForce RTX 2080 Ti, 11264 MiB
1, NVIDIA GeForce RTX 2080 Ti, 11264 MiB
2, NVIDIA GeForce RTX 2080 Ti, 11264 MiB
3, NVIDIA GeForce RTX 2080 Ti, 11264 MiB
4, NVIDIA GeForce RTX 2080 Ti, 11264 MiB
5, NVIDIA GeForce RTX 2080 Ti, 11264 MiB
6, NVIDIA GeForce RTX 2080 Ti, 11264 MiB
7, NVIDIA GeForce RTX 2080 Ti, 11264 MiB

Training with 8 GPUs

==========================================
🚀 Starting BLAZING FAST training at Sun Nov 23 10:20:46 PM HKT 2025
==========================================

trainable params: 1,089,536 || all params: 1,544,803,840 || trainable%: 0.0705
trainable params: 1,089,536 || all params: 1,544,803,840 || trainable%: 0.0705
trainable params: 1,089,536 || all params: 1,544,803,840 || trainable%: 0.0705
trainable params: 1,089,536 || all params: 1,544,803,840 || trainable%: 0.0705
trainable params: 1,089,536 || all params: 1,544,803,840 || trainable%: 0.0705
trainable params: 1,089,536 || all params: 1,544,803,840 || trainable%: 0.0705
trainable params: 1,089,536 || all params: 1,544,803,840 || trainable%: 0.0705
trainable params: 1,089,536 || all params: 1,544,803,840 || trainable%: 0.0705
NCCL version 2.27.5+cuda12.9
{'loss': 1.025, 'grad_norm': 0.15335406363010406, 'learning_rate': 0.0005, 'epoch': 0.19}
{'loss': 1.0312, 'grad_norm': 0.15839506685733795, 'learning_rate': 0.0005, 'epoch': 0.19}
{'loss': 1.0339, 'grad_norm': 0.15192216634750366, 'learning_rate': 0.0005, 'epoch': 0.2}
{'loss': 1.0224, 'grad_norm': 0.14832165837287903, 'learning_rate': 0.0005, 'epoch': 0.2}
{'loss': 1.0307, 'grad_norm': 0.140854611992836, 'learning_rate': 0.0005, 'epoch': 0.2}
{'loss': 1.0261, 'grad_norm': 0.1486012190580368, 'learning_rate': 0.0005, 'epoch': 0.21}
{'loss': 1.0231, 'grad_norm': 0.13809578120708466, 'learning_rate': 0.0005, 'epoch': 0.21}
{'loss': 1.0278, 'grad_norm': 0.14226758480072021, 'learning_rate': 0.0005, 'epoch': 0.22}
{'loss': 1.0247, 'grad_norm': 0.14361636340618134, 'learning_rate': 0.0005, 'epoch': 0.22}
{'loss': 1.0321, 'grad_norm': 0.14691062271595, 'learning_rate': 0.0005, 'epoch': 0.23}
{'eval_loss': 1.0468506813049316, 'eval_runtime': 626.6957, 'eval_samples_per_second': 99.638, 'eval_steps_per_second': 6.228, 'epoch': 0.23}
{'loss': 1.0259, 'grad_norm': 0.13259539008140564, 'learning_rate': 0.0005, 'epoch': 0.23}
{'loss': 1.0175, 'grad_norm': 0.13552987575531006, 'learning_rate': 0.0005, 'epoch': 0.24}
{'loss': 1.0184, 'grad_norm': 0.1894182413816452, 'learning_rate': 0.0005, 'epoch': 0.24}
{'loss': 1.0192, 'grad_norm': 0.14369316399097443, 'learning_rate': 0.0005, 'epoch': 0.25}
{'loss': 1.0238, 'grad_norm': 0.15047143399715424, 'learning_rate': 0.0005, 'epoch': 0.25}
{'loss': 1.0196, 'grad_norm': 0.13361576199531555, 'learning_rate': 0.0005, 'epoch': 0.26}
